Tech_num,Tech_name,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
13,Gas_Cand,919.00,914.00,896.00,886.00,883.00,876.00,863.00,856.00,851.00,846.00,843.00,838.00,832.00,828.00,823.00,818.00,814.00,809.00,806.00,800.00,795.00,789.00,784.00
14,Wind_Cand,1347.64,1303.00,1259.00,1215.00,1171.00,1127.00,1083.00,1038.00,994.00,950.00,941.00,931.00,922.00,912.00,903.00,893.00,884.00,874.00,865.00,855.00,851.00,841.00,832.00
15,Solar_Cand,1316.00,1256.00,1196.00,1136.00,1076.00,1016.00,956.00,896.00,836.00,776.00,769.00,762.00,755.00,748.00,741.00,734.00,728.00,721.00,714.00,707.00,680.00,674.00,667.00
16,ES_4hr_Cand,1475.00,1371.00,1256.00,1167.00,1104.00,1057.00,1015.00,968.00,931.00,895.00,884.00,873.00,862.00,850.00,839.00,828.00,817.00,806.00,794.00,783.00,772.00,761.00,750.00
17,ES_6hr_Cand,2094.00,1935.00,1765.00,1626.00,1536.00,1462.00,1396.00,1326.00,1266.00,1210.00,1195.00,1180.00,1165.00,1150.00,1135.00,1120.00,1105.00,1089.00,1074.00,1059.00,1044.02,1028.90,1013.78
18,ES_8hr_Cand,2713.00,2499.00,2275.00,2085.00,1968.00,1866.00,1778.00,1684.00,1601.00,1525.00,1507.00,1487.00,1468.00,1449.00,1430.00,1411.00,1392.00,1373.00,1354.00,1335.00,1315.93,1296.87,1277.80
19,ES_10hr_Cand,3331.00,3063.00,2785.00,2544.00,2400.00,2271.00,2159.00,2042.00,1935.00,1840.00,1818.00,1795.00,1772.00,1749.00,1726.00,1703.00,1680.00,1657.00,1634.00,1611.00,1587.83,1564.83,1541.83
20,Li_Ion_Cand,238.24,242.53,236.37,248.58,240.26,247.64,252.47,252.07,262.13,264.41,261.36,258.05,254.75,251.44,248.14,244.83,241.53,238.22,234.92,231.61,228.00,225.00,222.00
21,Flow_Cand,476.48,485.07,472.73,497.15,480.52,495.28,504.94,504.13,524.26,528.82,522.71,516.10,509.49,502.88,496.27,489.66,483.05,476.44,469.83,463.22,456.61,450.00,443.39
22,LDES_Cand,1905.91,1940.27,1890.92,1988.60,1922.07,1981.11,2019.75,2016.54,2097.04,2115.29,2090.85,2064.41,2037.97,2011.53,1985.09,1958.64,1932.20,1905.76,1879.32,1852.88,1826.44,1800.00,1773.56
