year,df,df_ee
2021,1.000,1.000
2022,1.080,1.080
2023,1.123,1.123
2024,1.168,1.168
2025,1.203,1.203
2026,1.239,1.239
2027,1.276,1.276
2028,1.315,1.315
2029,1.354,1.354
2030,1.395,1.395
2031,1.437,1.437
2032,1.480,1.480
2033,1.524,1.524
2034,1.570,1.570
2035,1.617,1.617
2036,1.666,1.666
2037,1.715,1.715
2038,1.767,1.767
2039,1.820,1.820
2040,1.875,24.726
2041,1.931,25.458
2042,1.989,26.205
2043,2.048,
2044,2.110,
2045,2.173,
2046,2.238,
2047,2.305,
2048,2.375,
2049,2.446,
2050,2.519,
2051,2.591,
2052,2.663,
2053,2.736,
2054,2.808,
2055,2.880,
2056,2.953,
2057,3.025,
2058,3.097,
2059,3.170,
2060,3.242,
